nom_officiel,adresse,code_postal,ville,region,departement,domaine_thematique,histoire,atout,interet,annee_creation,idmuseofile,payant,gratuit,total,individuel,scolaires,groupes_hors_scolaires,moins_18_ans_hors_scolaires,_18_25_ans
musée barrois,esplanade du château,55000,Bar-le-Duc,Grand Est,Meuse,"Archéologie,Arts décoratifs,Beaux-arts,Ethnologie,Afrique,Amérique,Océanie,Arts de l'Islam,Photographie,Technique et industrie,Sciences de la nature","Le musée est créé en 1841 par Théodore Oudet, architecte départemental, dans un esprit encyclopédique. Toutes les formes de production y sont collectées dans un but avant tout pédagogique : le musée est un lieu de diffusion du savoir, quelle qu’en soit sa nature. Il s’enrichit au fil des années grâce à la générosité de nombreux donateurs. À ces dons s’ajoutent des achats et des envois de l’État : ces œuvres forment aujourd’hui un important fonds de peintures du XIXe siècle. Le musée s’organise en sections dès sa fondation : peinture, sculpture, antiquités, histoire naturelle, curiosités. Le premier musée occupe l’hôtel de Florainville, place Saint-Pierre. Ce bâtiment du XVIe siècle est aussi le logement de fonction du premier conservateur, Théodore Oudet. Il ouvre les portes du musée aux artistes et ouvriers désireux de s’instruire devant les œuvres du passé ou les réalisations techniques ingénieuses montrées dans les salles. Les collections sont mises en caisse en 1939. Après la Seconde Guerre mondiale, l’hôtel de Florainville devient le siège du tribunal de grande instance. Les collections sont alors en partie réinstallées au premier étage de l’hôtel de ville. En 1862 est créée la « Galerie des illustrations militaires de la Meuse » à l’instigation du Conseil Général. Quatre-vingts généraux et maréchaux originaires du département y sont représentés par des artistes originaires du département ou y résidant. En 1966, les collections rassemblées par la société de Géographie de l’Est sont cédées à la Ville de Bar-le-Duc pour qu’elle les intègre au sein du Musée barrois. Elles constituent aujourd’hui l’une des plus riches sections ethnographiques de Lorraine avec des objets issus des cinq continents.  Une réflexion est entamée au début des années 1960 pour que le musée investisse un autre lieu. Le choix se porte sur l’ancien château des ducs de Bar, occupé jusqu’alors par une école. Après quelques années de travaux, les œuvres sont à nouveau accessibles au public en 1974.","Collections d'archéologie : grande sculpture de Déesse-mère de Nasium, grand masque de Boviolle,sarcophages, bronzes Sculptures religieuses et profanes du Barrois médiéval et renaissant. Ethnographie. Peintures, lithographies. Collections d'art du Japon, Vietnam, Tibet, d'Afrique, de Guyane d'Amazonie, d'Océanie et des peuples islamiques, dont un rare zémi Taïno","Beaux-Arts : Peinture, Sculpture",,M0517,725,2784,3509,917,2006,586,639,
Maison du Verre et du Cristal,place Robert Schuman,57960,Meisenthal,Grand Est,Moselle,"Art moderne et contemporain,Histoire,Technique et industrie","La Verrerie de Meisenthal voit le jour en 1704, dans les Vosges du Nord. Elle produira des dizaines de millions de pièces de verre utilitaire, de gobeleterie bon marché. Entre 1867 et 1894 la verrerie sert de laboratoire à Émile Gallé, chef de file de l’École de Nancy, qui y effectue des recherches techniques et artistiques sans précédent, conférant à Meisenthal le statut de « berceau du verre Art Nouveau ». L’unité de production traverse les conflits mondiaux mais ne faisant pas le choix de la modernisation de l’outil de production, vient s’échouer à l’aube des années 1970. L’usine, qui compta jusqu’à 650 salariés, ferme ses portes le 31 décembre 1969, laissant dans son sillage une sirène aphone, l’église noire de fumées, une friche désossée par les ferrailleurs et les souvenirs friables d’une aventure ouvrière (dé)passée. Plein emploi oblige, pas de mouvements sociaux, pas de révolte. Juste la petite mort anodine d’une société anonyme. En apparence seulement. Parce que là-bas, au creux des montagnes, la foi des hommes, entrepreneurs, verriers virtuoses et créateurs ne s’est jamais éteinte... Après de nombreuses étapes de reconversion du site de l’ancienne Verrerie, qui prennent leur source dans les origines du Musée du Verre de Meisenthal en 1978, le Centre International d'Art Verrier [CIAV] voit le jour en 1992 dans l’ancien atelier de taille de la Verrerie, grâce à une volonté politique locale. Le CIAV, établissement public, a pour but de préserver la mémoire technique de son territoire, d’en assurer la continuité et de réinscrire la production verrière traditionnelle dans son époque. Il croise ainsi les mondes traditionnellement cloisonnés de la production artisanale et de l’industrie, de la création contemporaine et des savoir-faire traditionnels, dans le but d’initier de nouvelles dynamiques culturelles, économiques et touristiques autour des métiers du verre.","Le CIAV s’attache à préserver et à valoriser l’héritage technique de son territoire par le biais de diverses actions : séances de transmission du savoir-faire avec d’anciens verriers, rachats d’outillages anciens, constitution d’une moulothèque - fond de 1.500 moules anciens -, recherches historiques avec le Musée du Verre... Outre sa vertu conservatoire, ce travail permet de constituer un important fonds de ressources techniques, mobilisables par les créateurs qui sont amenés à travailler à Meisenthal. Ces créateurs contemporains (artistes, designers…), professionnels ou en devenir (workshop d’étudiants) confrontent leurs questionnements au solfège verrier pour enrichir les savoir-faire traditionnels de nouvelles interprétations, de nouveaux espoirs. De ces collaborations naissent des objets, œuvres ou installations (pièces uniques, multiples, séries limitées…) qui vivent divers destins. Le CIAV développe des contextes permettant leur diffusion en collaboration avec des structures partenaires en France ou à l’international (éditeurs, galeries, musées…) ou en son propre sein. Le CIAV a lancé, en effet, sa propre ligne éditoriale d’objets, imaginés, fabriqués et vendus quasi-exclusivement sur place… une manière de partager notre amour d’un métier tout en remobilisant des clientèles qui s’étaient détournées des filières artisanales. En complément de ces recherches créatives, le CIAV propose de nombreux rendez-vous permettant au plus grand nombre d’appréhender les métiers du verre, son histoire régionale, mais aussi le travail des créateurs contemporains : démonstrations commentées, séquences pédagogiques pour le jeune-public, rencontres avec les créateurs, conférences, expositions monographiques ou collectives, à Meisenthal en France ou à l’étranger, édition et co-édition d’ouvrages…","Sciences et techniques : Industrie""",,M0528,27752,10665,38417,31176,3596,7241,6945,
musée militaire et Erckmann-Chatrian,place d'armes,57370,Phalsbourg,Grand Est,Moselle," musée en milieu rural""","Histoire,Littérature","""Le Musée de Phalsbourg est crée en 1938 à l'occasion du centenaire de la mort du Maréchal Mouton. En janvier 1941, considéré comme butin de guerre, il est déménagé en Allemagne et les objets et souvenirs militaires des généraux phalsbourgeois disparaissent dans le tourbillon de la guerre. Rouvert en 1948, il assume aujourd'hui une triple vocation :  - pérenniser le passé historique et militaire de la ville de Phalsbourg à travers ses collections d'uniformes français et étrangers, d'armes blanches et à feu, d'équipements de toute nature ","""Collections militaires : Armes, Uniformes, Armures",,M0531,0,563,563,563,0,0,,
musée départemental d'art ancien et contemporain,1 place de Lagarde,88000,Epinal,Grand Est,Vosges,"Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Histoire,Photographie,Sciences de la nature,Technique et industrie","C'est pour abriter la collection des princes de Salm, constituée au cours du XVIIIe siècle, que le musée départemental est créé à Épinal en session du Conseil général le 4 septembre 1822. En 1829, le duc de Choiseul, président du Conseil général des Vosges, offre au musée dont il est le véritable fondateur, vingt-cinq tableaux de valeur. A partir de 1975, une audacieuse politique d'acquisitions d’œuvres importantes de la seconde moitié du XXe siècle permet d'offrir aux visiteurs un panorama, rarement vu en dehors des très grandes villes, des principales tendances qui parcourent l'art de notre époque, hormis la peinture. Grâce à l'important dépôt de la Fondation Camille, une attention particulière a pu être accordée aux artistes femmes.","Collection des princes de Salm : magnifique ensemble des grands maîtres des XVIIe et XVIIIe siècles, dont la « Mater Dolorosa » de Rembrandt. Collection du duc de Choiseul : vingt-cinq tableaux de valeur, dont le célèbre « Job raillé par sa femme » de Georges de La Tour.  Œuvres de la seconde moitié du XXe siècle : Pop Art, Land Art, Minimalisme, art conceptuel, Nouveau réalisme et d'artistes femmes.  La promenade en Antiquité montre, par la qualité des objets présentés, toute l'importance des sites vosgiens aux périodes celtiques, gallo-romaines (Grand, Soulosse, le Donon) et mérovingiennes.  Le musée départemental présente également de beaux témoignages de la statuaire religieuse, du mobilier lorrain et des objets usuels de la vie domestique et professionnelle ainsi qu'une partie de sa très riche collection de numismatique.","Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",,M0536,2940,12509,15449,10442,4497,510,548,82
musée Charles de Bruyères,70 rue Charles de Gaulle,88200,Remiremont,Grand Est,Vosges,"Archéologie,Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Photographie","Charles de Bruyères lègue à sa ville natale, sa maison et sa collection de peintures. Descendant d'une famille d'ancienne noblesse, il collectionne les portraits rappelant l'histoire de la Lorraine et du chapitre noble de la ville : portraits de chanoinesses, d'abbesses, de ducs de Lorraine et d'aristocrates dont le R.P. Verlet peint par Ch.L. Chéron. Documents écrits, arbres de ligne, monnaies, mobilier, tentures peintes ayant orné l'hôtel de ville.... complètent cette collection centrée sur le XVIIIe siècle.  Deux des onze salles concernent une collection de mobilier ethnographique : cuisine et chambre à coucher vers 1800 dans les Hautes-Vosges créé en 1913 pour l'ouverture du musée au public.","Intaille carolingienne, statuettes de confrérie, statues de la fin du moyen âge provenant de l'église abbatiale : Pietà, Mise au tombeau, Pâmoison de la Vierge, Vierge de miséricorde, tête de Vierge du XIVe siècle. Archéologie du premier site d'implantation d'un monastère féminin dans l'Est de la France, vers 620. La plus grande collection de croix d'inhumation en plomb de France (52 du XIe au XVIIIe siècles). Peintures hollandaises du XVIIe siècle, peintures italiennes du XVIIe siècle et peintures françaises du XIXe sicèle. Dessins et gravures. Faïences XVIIIe et XIXe siècles (Delft, Nevers, Rouen, Strasbourg, Lunéville, Épinal, Moustiers). Importante collection de faïences d’Émile Gallé. Verrerie d'art : École de Nancy, Émile Gallé, D'Argental, Paul Nicolas. Peintures sous verre (Alsace, Lorraine Bohème...), filés de Nevers et paperolles. Cires habillées : Frères Guillot à Nancy. Broderies anciennes : Mirecourt, Lunéville. Étains : potiers régionaux (Remiremont, Besançon). Collection ornithologique non exposée (régionale).",Numismatique,,M0540,1067,2922,3989,2805,425,759,309,45
musée du Charroi Rural,le placet,12120,Salmiech,Occitanie,Aveyron,Technique et industrie,"Premiers dépôts du musée du Rouergue et objets relatifs au transport rural avant la motorisation et aux métiers de charron et de forgeron avant 1975. Inauguré en 1980. Depuis 1975, dons ou dépôts à l'association les Amis du musée de Salmiech.","Charroi, transport, artisanat local, outils et objets agricoles. Outillage complet d'artisanat local. Histoire et technologie de la roue et des véhicules avant la motorisation (du véhicule à traction animale au véhicule motorisé moderne. Evolution des techniques et adaptation). Ethnologie du Ségala. Une dizaine de films sur les métiers anciens et sur les techniques agricoles anciennes.  Les outils et véhicules exposés ne sont pas restaurés et ne constituent pas de copie.","Sciences et techniques : Transports terrestres""",,M0554,610,50,660,580,0,70,20,25
musée archéologique,Études & conservation,31510,Saint-Bertrand-de-Comminges,Occitanie,Haute-Garonne," musée en milieu rural""",Archéologie,"Le Musée archéologique départemental de Saint-Bertrand-de-Comminges est créé en 1985 à l’occasion de la cession par la Société archéologique du Midi de la France (jusqu’alors maître d’œuvre de l’archéologie locale), de l’ensemble de ses collections au Conseil général de la Haute-Garonne. Depuis cette date, le musée est dépositaire des objets archéologiques issus des fouilles réalisées entre 1920 et 1969 à l’emplacement du chef-lieu de la cité antique des Convènes, Lugdunum-Conuenae, objets auxquels se sont ajoutés ceux qui proviennent des fouilles effectuées de 1985 à 2000.  Fortement investi dans la recherche archéologique, le musée a pour vocation de promouvoir l’étude et la mise en valeur des collections en lien avec les résultats des travaux récents menés sur le site et d’en garantir la conservation, la sécurité et l’accessibilité. Il présente un programme régulier d’expositions temporaires depuis 1990.",,,M0560,0,12387,12387,10338,1074,975,,
"Les Abattoirs, musée d'art moderne et contemporain",76 allée Charles de Fitte,31300,Toulouse,Occitanie,Haute-Garonne,Art moderne et contemporain,"""1991 : création dans le cadre d'un projet de structure muséale, d'une association Etat, Ville, Région et d'un syndicat mixte. 1992 : Nomination de Jack Ligot comme chef de projet. Protocole d'accord entre l'Etat, la Ville de Toulouse et la Région Midi-Pyrénées pour la création d'un Espace d'art contemporain sur le site des Abattoirs.  1995 : nomination d'Alain Mousseigne au poste de directeur des Abattoirs.  1996 : obtention du permis de construire.  1997-2000 : chantier et achèvement des travaux.  Les collections du musée sont composées par :  - le dépôt des collections d'art moderne des musées de Toulouse (musée d'art moderne, musée des Augustins, artothèque) ", - le dépôt du Fonds régional d'art contemporain de Midi-Pyrénées (FRAC) ,"Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture""",,M0566,147143,96319,243462,196841,17588,29033,,
musée des Amériques - Auch,4 place Louis Blanc,32000,Auch,Occitanie,Gers,"Archéologie,Beaux-arts,Arts décoratifs,Ethnologie,Afrique,Amérique,Asie","Le musée d'Auch a été fondé par un arrêté du directoire du département du Gers le 16 décembre 1793. Les collections sont constituées à partir de saisies révolutionnaires. Les objets du musée archéologique de la Société historique de Gascogne sont venus les compléter à la fin du XIXe siècle. La collection d'ethnographie gasconne a été constituée à partir de 1948.  Le musée d'Auch fut l'un des premiers à recevoir et à présenter dès le début du XXe siècle des collections provenant du Pérou et du Mexique. A l'origine de ces collections, des hommes et des femmes partis dès le milieu du XIXe siècle chercher fortune en Amérique Latine. Tout comme cet Auscitain, Guillaume Pujos, qui à la suite de la crise provoquée dans les milieux viticoles par le phylloxéra, quitta sa ville natale pour le Chili et le Pérou. En amateur d'art éclairé, il rapporta de ses voyages de nombreux objets dont il fit don au musée d'Auch avant d'en devenir le conservateur. Une des originalités de la collection de Guillaume Pujos provient d'un remarquable ensemble de statuettes d'art sacré colonial dont il n'existe que peu d'équivalents en France. Dès 1911, ses collections ont été présentées au public auscitain. Dans les années 50, à l'initiative d'Henri Polge, conservateur du musée, la Direction des musées de France favorisa le dépôt d'autres fonds, comme ceux du musée des Eyzies et du musée d'Annecy, pour former ce qui constitue aujourd'hui l'un des principaux ensembles d'art précolombien en France (près de 1.500 pièces à ce jour). Depuis une vingtaine d'années, le musée d'Auch s'efforce, par une politique d'acquisition ciblée, d'enrichir sa propre collection. En 2006, Madame Lions a souhaité faire don au musée d'Auch d'une grande partie de la collection d'art précolombien qu'elle et son époux, aujourd'hui disparu, avaient constituée au cours de leurs nombreux voyages et séjours au Pérou et au Brésil. Les objets donnés proviennent en très grande majorité du Pérou. Ils se composent d'un ensemble particulièrement riche d'orfèvrerie (éléments de parures et vaisselles), de céramiques, d'objets métalliques, de tissus, de vanneries, de sculptures en bois et d'objets décorés de plumes. Cette donation exceptionnelle, de loin la plus riche que le musée ait jamais reçue, se compose de plus de 6.000 pièces au total, multipliant par quatre la collection d'art précolombien du musée.","""Art précolombien :  - les collections pré-hispanique constituent un des attraits majeurs du musée. Riche de plus de 7.500 objets, cet ensemble constitue la deuxième collection publique d'art précolombien de France ","  - art décoratif et mobilier : très belle collection de faïences d'Auch, issues des ateliers installés dans l'ancien quartier de la Treille, mais dont la production ne dura que quinze ans (de 1757 à 1772). Les objets d'art et le mobilier exposés proviennent pour la plupart de saisies révolutionnaires effectuées notamment dans l'ancien palais épiscopal, ou de l'Hôtel des Intendants de la Généralité d'Auch. Parmi les plus remarquables : un salon en acajou recouvert de tapisserie d'Aubusson illustrant les Fables de la Fontaine, un magnifique buste du sculpteur Boizot représentant Louis XVI ou encore un clavecin au piètement sculpté bleu et or, magnifique instrument de la seconde moitié du XVIIIe siècle, de facture anonyme. La table d'harmonie possède un décor floral d'un extrême raffinement. On ignore s'il se trouvait dans le salon de l'Hôtel de l'Intendance ou s'il appartenait au Marquis d'Orbessan, homme de lettres et de sciences, musicien, amateur d'art, collectionneur, et dont le château des environs d'Auch était au siècle des Lumières l'un des foyers intellectuels et artistiques les plus brillants de la région ",,M0569,8585,12454,21039,16652,3739,648,1881,465
musée Toulouse-Lautrec,place Sainte-Cécile,81003 cedex,Albi,Occitanie,Tarn,"Art moderne et contemporain,Beaux-arts","Les collections d'art ancien forment le tout premier fonds du musée, constitué à la fin du XIXe siècle. Le don par le comte et la comtesse Toulouse-Lautrec, conseillés par Maurice Joyant, ami de l'artiste, et par le cousin de ce dernier, le docteur Tapié de Céleyran, de l'ensemble du fonds d'atelier de leur fils, en 1922, permet de constituer un ensemble unique, dont les 31 affiches qu'il a conçues, des tableaux de jeunesse, des scènes de Montmartre, des œuvres évoquant le milieu du spectacle ou du théâtre dans le Paris de la fin du XIXe siècle. Initiée par le musée à partir des années 1930, la collection d'art moderne permet de découvrir l’art depuis la fin du XIXe siècle jusqu’au milieu du XXe siècle. Elle propose des œuvres d'artistes qui furent amis ou contemporains de Toulouse-Lautrec ainsi qu'un ensemble consacré à la « réalité poétique » et au retour à la figuration de la première moitié du XXe siècle.","La plus importante collection publique au monde consacrée à Henri de Toulouse-Lautrec. Depuis 1922, plus de mille œuvres, tableaux, lithographies, dessins, ainsi que l'ensemble des affiches réalisées par Henri de Toulouse-Lautrec sont conservées et exposées au musée d'Albi. Cet ensemble couvre chronologiquement la production artistique de Toulouse-Lautrec mais aussi tous les thèmes qu'il a abordés et les techniques qu'il a utilisées.  Outre ce fonds considérable, le musée d'Albi présente des collections d'archéologie, d'art ancien et d'art moderne.",Arts décoratifs : Verrerie,,M0592,98885,28616,127501,,6133,,,
musée Raymond Lafage,9 place Paul Saissac,81310,Lisle-sur-Tarn,Occitanie,Tarn,"Archéologie,Art moderne et contemporain,Histoire","Le musée Raymond Lafage est créé en 1890 sous l'impulsion de deux chercheurs locaux Jules Rigaud et Achille Gaillac, à partir des collections archéologiques issues des collectages de surface dans le canton de Lisle-sur-Tarn et des environs.  Les collections archéologiques qui entrent au musée couvrent la période du paléolithique au XVIe siècle.  Dès 1892, une section artistique est constituée. Le fonds comprend des œuvres d'artistes peintres et sculpteurs de la région. En 1895, le peintre Victor Maziès lègue au musée son fonds d'atelier, en particulier des portraits de famille. A la fin du siècle, le musée bénéficie de dépôts de l'État qui viennent enrichir les collections de peintures et d'estampes, notamment des œuvres de Raymond Lafage.  Depuis, et notamment grâce aux expositions temporaires, le fonds permanent est régulièrement enrichi par la municipalité de Lisle-sur-Tarn et grâce au concours de l'Association des Amis de Raymond Lafage.","Le fonds permanent comprend principalement des œuvres d'artistes régionaux, mais aussi d'artistes ayant fait carrière à Paris.  Gravures et dessins de Raymond Lafage.  La forêt de Grésigne qui jouxte la commune de Lisle-sur-Tarn a été une zone de production verrière sous l'Ancien régime. La collection de verreries du musée, acquise en 1999, permet d'admirer des pièces de couleur verte ou bleu-vert, fabriquées aux XVIIIe et XIXe siècles. Une salle d'exposition permanente fait le point sur leurs différents usages et sur la tradition des gentilshommes verriers de ce territoire.  Collections d'archéologie préhistoriques (silex et coups de poing paléolithiques), objets provenant des fouilles de Saint-Salvy-de-Coutens, céramiques et bijoux du Bronze final, poteries gallo-romaines, corbeaux incrusté provenant de la chapelle de l'abbaye cistercienne de Candeil (XIIIe siècle).",Art religieux,,M0602,923,2276,3199,,0,0,0,0
Forum antique de Bavay,allée chanoine Biévelet,59570,Bavay,Hauts-de-France,Nord," musée en milieu rural""","Archéologie,Histoire","Musée de France, Monument historique et site archéologique d’intérêt national, le Forum antique de Bavay est un équipement de référence pour l’archéologie des Hauts de France.  En 1906, Maurice Hénault, archiviste de la ville de Valenciennes, fonde le premier musée de Bavay avec la Société des amis de Bavay. En 1976, le musée actuel est construit, à proximité du site de fouilles. Sa création s’imposait, suite aux découvertes archéologiques faites depuis le XVIIIe siècle. En effet, un forum romain tripartite avait été mis au jour. Ce forum du IIe siècle est le plus grand découvert en Gaule. À l’époque gallo-romaine, Bavay (Bagacum) était la capitale de la cité des Nerviens, dont le territoire s’étendait jusqu’à l’actuelle Bruxelles.  Les réserves abritent près de 60.000 objets retrouvés lors des fouilles sur le forum et dans l’antique Bagacum, principalement après 1906. Les collections ont un statut municipal de 1906 à 1936. Elles deviennent nationales après cette date.",,,M0612,21072,7226,28298,10810,15248,2240,,
musée Henri Boez,hôtel de ville,59607,Maubeuge,Hauts-de-France,Nord,"Archéologie,Beaux-Arts","Créé en 1878 par Édouard Bertrand, clerc de notaire maubeugeois, le musée constitue ses premières collections grâce à de nombreux dons. Le musée s’installe d’abord, en 1893, dans un bâtiment légué par Sidonie Fercot-Delmotte, dont il prend le nom temporairement pour devenir le Musée Fercot-Delmotte. En 1913, le musée emménage au premier étage de l’actuelle salle Sthrau, chapelle du collège jésuite de la ville. Quelques mois plus tard, dans la nuit du 3 au 4 septembre 1914, les bombardements provoquent l’incendie du centre-ville de Maubeuge et de la salle Sthrau. Le musée disparaît entièrement dans les flammes ainsi que toutes les collections, à quelques exceptions près. Au lendemain de la Première Guerre mondiale, tout le musée est à reconstruire et ses collections à reconstituer. En 1926, Henri Boëz crée la Société des Amis de Maubeuge et prend en charge la reconstitution des collections et la réouverture du musée. En 1936, le musée s’installe à nouveau dans la salle Sthrau rénovée par Jean et Henri Lafitte.  Après avoir vu ses œuvres évacuées vers le domaine de Beaumanoir en Normandie à l’aube de la Seconde Guerre mondiale, le musée s’installe dans l’ancien Chapitre des Chanoinesses, donnant sur la Place verte, où il restera jusqu’en 1993. Henri Boëz décède en 1972 après avoir consacré plus de 40 années au Musée de Maubeuge. La même année, son nom est donné au musée. La Ville de Maubeuge s’engage dans un projet de réouverture du musée au sein des anciens locaux de la CPAM et de la CAF, érigés par André Lurçat, lors de la Reconstruction de la ville après la Seconde Guerre mondiale.","Le musée rassemble des objets gallo-romains et mérovingiens, des souvenirs d'histoire locale, des faïences, notamment de Ferrière-la-Petite et des peintures des écoles françaises et flamandes du XVIIe au XIXe siècles.","Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",,M0633,0,1831,1831,1366,288,177,,
musée de la Céramique de Desvres,rue Jean Macé,62240,Desvres,Hauts-de-France,Pas-de-Calais,"Arts décoratifs,Technique et industrie","Le musée de la céramique voit le jour en 1963. Il existe alors sous forme de collection municipale exposée au second étage de l’hôtel de ville. Cette première collection est principalement constituée de dons des industriels faïenciers desvrois, soucieux de participer à la préservation et à la valorisation d’une production solidement ancrée dans l’histoire de la cité potière. En 1991, la Ville de Desvres inaugure la Maison de la Faïence et y transfère le musée de la céramique. Structure culturelle et touristique gérée par l’association du même nom, la Maison de la Faïence offre aux visiteurs une véritable vitrine du savoir-faire desvrois à travers son exposition permanente consacrée à la fabrication de la faïence, et abrite, pour plusieurs années, les Offices du Tourisme et de la Culture de Desvres. Dotée d’une salle d’exposition temporaire, la Maison de la Faïence propose, jusqu’à sa fermeture en 2010, une programmation en faveur de l’histoire céramique locale et de la création contemporaine, grâce notamment à ses résidences d’artistes. Au cours des années 2011-2012, la Maison de la Faïence disparaît au profit du Musée de la Céramique, inauguré en octobre 2012. Le nouveau parcours permanent met l’accent sur la variété de la production desvroise, tant dans ses formes que dans ses matières, à travers plus de trois siècles d’histoire, et sur les récits et témoignage d’anciens ouvriers et faïenciers.","Le musée propose un parcours chronologique et thématique en dix salles permettant de découvrir l’activité céramique de Desvres de la fin du XVIIe au début du XXIe siècle. Cité potière antique, Desvres possède très tôt une main d’œuvre qualifiée grâce à laquelle l’art de la faïence s’implante durablement dès le milieu des années 1760. Sous l’impulsion des Fourmaintraux, le XIXe siècle voit le développement de cette industrie et la naissance de nombreuses manufactures locales. C’est au cours du siècle suivant que Desvres s’affirme comme un important centre producteur céramique, avec les grandes sociétés Fourmaintraux, Géo Martel et Masse. De nos jours, l’activité continue, creusant la veine d’un savoir-faire incontesté. Poteries, faïences, grès et porcelaines se succèdent dans une riche présentation d’environ 700 pièces. Cette multitude d’objets étonnants, chatoyants et souvent spectaculaires, s’offre au visiteur dans des ambiances vives ou feutrées où alternent d’élégantes mises en vitrine et des espaces scénographiques inédits. Des projections, des films et des tables tactiles enrichissent la visite en permettant à chacun de comprendre le processus de fabrication d’une faïence stannifère, d’approfondir ses connaissances et d’aller à la rencontre d’anciens ouvriers, faïenciers et descendants, témoins d’une production renommée, à la qualité reconnue. Le musée possède un ensemble de documents techniques accompagnant la production céramique. Des dessins préparatoires aux biscuits de faïence, en passant par les aquarelles, les poncifs, les photos commerciales d’époque, la verrerie de laboratoire, les essais d’émaux, les moules, ce fonds documentaire appelé à s’accroître inscrit le Musée dans un double réseau d’établissements patrimoniaux d’arts décoratifs et de culture et mémoire techniques.",,,M0645,8007,1670,9677,5021,2068,2588,277,
musée Quentovic,8 place du général de Gaulle,62630,Etaples-sur-Mer,Hauts-de-France,Pas-de-Calais,"Archéologie,Beaux-arts,Histoire,Photographie,Sciences de la nature","Le musée Quentovic est fondé en 1967. il doit son nom à l'ancienne société Quentovic, qui évoquait avec ce toponyme l'importante activité portuaire de la ville, très florissante à l'époque des royaumes mérovingiens puis de l'Empire carolingien. D'abord associatif (Société Quentovic), puis géré par un syndicat mixte, il devient musée municipal. Les collections émanent des fouilles effectuées à Etaples depuis 1965, de découvertes fortuites et de nombreux dons d'habitants de la ville et des communes environnantes. Le musée est fermé pour une durée indéterminée, mais il propose des animations.","""Collections beaux-arts: colonie des peintres d'Etaples (1870-1914), installés à Etaples et ses environs. "," Quentovic : grand port, implanté dans l'estuaire de la Canche, qui fut le principal emporium (place de commerce) du royaume mérovingien de Neustrie, puis de l'Empire carolingien entre les VIe et Xe siècles ap. J.-C. ",,M0646,525,892,1417,405,842,170,,
musée Henri Dupuis,9 rue Henri Dupuis,62500,Saint-Omer,Hauts-de-France,Pas-de-Calais,Sciences de la nature,"""Durant une bonne partie de sa vie, Henri Dupuis (1819-1889) amasse une immense collection d’histoire naturelle, d’arts décoratifs et de peinture, qu’il installe progressivement chez lui, en transformant une grande partie de sa maison en musée "," il va jusqu’à créer deux grandes galeries tapissées de vitrines pour y présenter ses céramiques et ses coquillages.  A sa mort, en 1889, il lègue à la Ville sa demeure et l’ensemble de sa collection pour « être utile à tous, surtout à la jeunesse », avec le souhait que ses collections soient présentées au public, pour améliorer la connaissance des Audomarois sur le patrimoine flamand et sur les naturalia. Le musée ouvre ses portes en 1894, cinq ans après la mort d’Henri Dupuis. La société des Antiquaires de la Morinie assure des permanences pour l’ouverture au public. Le musée est alors fidèle à la présentation conçue par Henri Dupuis lui-même.  La donation de Charles Van Kempen, en 1921, fait entrer dans les collections 20.000 spécimens d’oiseaux. En 1950, une nouvelle répartition des collections des deux musées de la ville est décidée. Cette opération vise à affirmer l’identité de chaque musée : les collections de beaux-arts et d’arts décoratifs sont regroupées au musée de l’hôtel Sandelin, tandis que le musée Henri Dupuis est entièrement consacré à l’histoire naturelle, avec l’exception notable de la cuisine flamande. C’est ainsi que les 7.000 oiseaux légués par l’ornithologue amateur Charles van Kempen à la ville en 1921, arrivent au musée Henri Dupuis.  Dans les années 1970, des dioramas sont aménagés au rez-de-chaussée pour présenter de manière plus réaliste et vivante une partie des collections d’oiseaux naturalisés. Le bureau d’Henri Dupuis, la cuisine flamande et la salle des coquillages demeurent dans leur présentation originale. Le musée Henri Dupuis ferme en 2004, le bâtiment n’étant plus conforme aux normes d’accueil. L’équipe des musées de Saint-Omer poursuit cependant le chantier des collections. Elle travaille assidûment pour récoler, restaurer et mettre en valeur les collections depuis de nombreuses années. Afin de faire profiter le public de ce travail considérable, divers projets sont mis en place au sein du musée Sandelin, lors des Journées européennes du patrimoine ou de la Nuit européenne des musées, mais également dans le cadre d’exposition hors-les-murs ou à travers des expositions temporaires d’envergure. La ville de Saint-Omer et l’équipe de ses musées ont célébré le bicentenaire de la naissance d’Henri Dupuis en 2019, à travers une exposition intitulée Henri Dupuis, deux cents ans de passion.""",Ethnologie : Mobilier,,M0651,0,240,240,240,0,0,,
